S.No.	 Experimental_Method 	Organism	 Cell_Type/Tissue 	 Genome_Version 	 Disease/Target_Pathway 	Samples	Replicates	PMID	 Publication_Journal 	 Publication_Year 	GSE	GSM	TF/Histone_Mark	 Cistrome_ID 	KEGG_ID	Metadata
1	ChIP-Seq	 Homo  sapiens 	Hct-116	hg19	 Colorectal  Cancer 	3	2	28440295	 Nature  Communications 	2017	GSE71885 	GSM1847178	KDM3B	82127	map05210	"Li  J,  et  al.  KDM3  epigenetically  controls  tumorigenic  potentials  of  human  colorectal  cancer  stem  cells  through  Wnt/β-catenin  signalling."
2	ChIP-Seq	 Homo  sapiens 	!	!	 Alzheimer's  disease 	62	2	29507413	 Nature  Neuroscience 	2018	GSE84618	GSE84618	H4K16ac	!	map05010	"Nativio  R,  Donahue  G,  Berson  A,  Lan  Y  et  al.  Dysregulation  of  the  epigenetic  landscape  of  normal  aging  in  Alzheimer's  disease. "
3	ChIP-Seq	 Homo  sapiens 	Dld1 Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283764	H3K4me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
4	ChIP-Seq	 Homo  sapiens 	Sa Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283765	H3K4me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
5	ChIP-Seq	 Homo  sapiens 	Sph Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283766	H3K4me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
6	ChIP-Seq	 Homo  sapiens 	Mets Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283767	H3K4me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
7	ChIP-Seq	 Homo  sapiens 	Dld1 Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283768	H3K27me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
8	ChIP-Seq	 Homo  sapiens 	Sa Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283769	H3K27me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
9	ChIP-Seq	 Homo  sapiens 	Sph Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283770	H3K27me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
10	ChIP-Seq	 Homo  sapiens 	Mets Colorectal  Cancer  Cell  Line 	hg19	 Colorectal  cancer 	12	!	28130225	 Cancer  Research 	2017	GSE85766	GSM2283771	H3K27me3	74948	map05210	"okavec  M,  et  al.  Cellular  Model  of  Colon  Cancer  Progression  Reveals  Signatures  of  mRNAs,  miRNA,  lncRNAs,  and  Epigenetic  Modifications  Associated  with  Metastasis.  Cancer  Res.  2017"
